letter	frequency
1	16
2	8
3	7
4	3
5	11
6	20
7	21
8	7
9	12
10	8
11	10
12	12
13	4
14	9
15	9
16	9
17	9
18	7
19	16
20	15
21	14
22	5
23	10
24	14
25	11
26	11
27	8
28	8
29	14
30	9
31	6
