cities,latitude,longitude,shootings
Monroeville,40.4257455,-79.76092565,1
Montclair,40.826184,-74.20862,1
Montgomery,32.34729571,-86.26730242,1
Morgantown,39.63400851,-79.94839325,1
Morven,34.86379864,-79.9996781,1
Moscow,46.73059479,-116.9990042,1
Moses Lake,47.12189424,-119.2750699,1
Naples,30.754181,-86.572799,1
New Port Richey,28.24653304,-82.71690259,1
New York City,40.68996411,-73.8720502,1
Newark,40.73169648,-74.18417699,1
Newington,41.68700845,-72.73083927,1
Newtown,41.41190846,-73.31196267,1
Nickel Mines,40.04214385,-76.30100872,1
Norcross,33.9412127,-84.2135309,1
Oak Creek,42.88027442,-87.90087079,1
Oakland,44.54994725,-69.70782299,1
Oakland,37.8043808,-122.2708166,1
Ogden,41.2281367,-111.9675317,1
Oklahoma City,35.46779189,-97.5191631,1
Olean,42.08185369,-78.43213922,1
Olivehurst,39.08174985,-121.5549539,1
Orange,33.78935598,-117.820412,1
Palm Bay,27.98388983,-80.66662713,1
Panama City Beach,30.22540212,-85.87371301,1
Parkland,47.155846,-122.437031,1
Pearl,32.27492783,-90.09470655,1
Pennsburg,40.39359306,-75.49640881,1
Perris,33.782519,-117.228648,1
Pinellas Park,27.84887061,-82.71058,1
Plantation,26.127586,-80.233104,1
Platte,43.38682722,-98.84357239,1
Red Lake,47.87067289,-95.00529009,1
Richmond,37.540725,-77.436048,1
Ridgewood,40.98213277,-74.11264731,1
River Forest,41.89499946,-87.81941392,1
Roanoke,37.27823366,-79.95816104,1
Rochester,43.1696837,-77.614337,1
Rockville,39.290385,-76.612189,1
Rome,34.26779152,-85.18822422,1
Roseburg,43.22205555,-123.3522367,1
Roswell,34.023243,-84.361556,1
Royal Oak,42.50840203,-83.15387427,1
Saginaw,43.41929117,-83.95032759,1
Salisbury ,39.75344279,-79.08435956,1
Salt Lake City,40.77787404,-111.9312168,1
San Ysidro,32.555556,-117.047656,1
Santa Barbara,34.420831,-119.69819,1
Santa Clara,37.36463172,-121.9679315,1
Santa Monica,34.02319149,-118.4815644,1
Seal Beach,33.75432632,-118.0715378,1
Sheridan,44.79051074,-106.9599165,1
Sherman,33.635662,-96.60888,1
South Valley,35.15290522,-106.7791378,1
Sparks,39.54058388,-119.748291,1
Spokane,47.67367375,-117.4159843,1
Springfield,44.05489698,-123.0075562,1
Stockton,37.96631812,-121.3018775,1
Sunnyvale,37.38344257,-122.0256185,1
Sutherland Springs,29.273296,-98.056673,1
Suwanee,34.05057545,-84.06872262,1
Syracuse,43.04093416,-76.14376763,1
Tallahassee,30.4549394,-84.25264151,1
Tarboro,35.90434471,-77.55639964,1
Tennessee Colony,31.8076,-95.8069,1
Thornton,39.868041,-104.971924,1
Trenton,40.217053,-74.742938,1
Tunkhannock,41.538688,-75.946588,1
Tyler,32.3154272,-95.30501087,1
Tyrone,37.204442,-91.876583,1
Union,38.95130818,-84.67066339,1
Vallejo,38.104086,-122.256637,1
Wakefield,42.506484,-71.0728306,1
Washington D.C.,38.90480894,-77.01629717,1
Watkins Glen,42.38013875,-76.86724659,1
Waycross,31.21094544,-82.35793452,1
West Paducah,37.08506,-88.74422,1
Wetumpka,32.543745,-86.211913,1
Wichita,37.687176,-97.330053,1
Wickliffe,41.60713735,-81.46902046,1
Wilkinsburg,40.441736,-79.881994,1
Wilmington,39.739072,-75.539788,1
Winnetka,42.10648807,-87.74211141,1
Woodbridge,38.6697,-77.3524,1
Youngstown,41.09933958,-80.64631705,1
